county,precinct,office,district,candidate,party,votes,,,
Davidson,1,President,,Donald J. Trump,REP,219,,,
Davidson,2,President,,Donald J. Trump,REP,311,,,
Davidson,3,President,,Donald J. Trump,REP,472,,,
Davidson, 4/5,President,,Donald J. Trump,REP,485,,,
Davidson, 6/7,President,,Donald J. Trump,REP,571,,,
Davidson,8,President,,Donald J. Trump,REP,280,,,
Davidson,9,President,,Donald J. Trump,REP,250,,,
Davidson,10,President,,Donald J. Trump,REP,249,,,
Davidson,11,President,,Donald J. Trump,REP,250,,,
Davidson, 12/13,President,,Donald J. Trump,REP,354,,,
Davidson,14,President,,Donald J. Trump,REP,218,,,
Davidson,15,President,,Donald J. Trump,REP,358,,,
Davidson,16,President,,Donald J. Trump,REP,211,,,
Davidson, 17/18,President,,Donald J. Trump,REP,192,,,
Davidson,19,President,,Donald J. Trump,REP,278,,,
Davidson,20,President,,Donald J. Trump,REP,459,,,
Davidson,Total,President,,Donald J. Trump,REP,5157,,,
Davidson,1,President,,Gary Johnson,LIB,6,,,
Davidson,2,President,,Gary Johnson,LIB,17,,,
Davidson,3,President,,Gary Johnson,LIB,25,,,
Davidson, 4/5,President,,Gary Johnson,LIB,27,,,
Davidson, 6/7,President,,Gary Johnson,LIB,22,,,
Davidson,8,President,,Gary Johnson,LIB,25,,,
Davidson,9,President,,Gary Johnson,LIB,29,,,
Davidson,10,President,,Gary Johnson,LIB,17,,,
Davidson,11,President,,Gary Johnson,LIB,19,,,
Davidson, 12/13,President,,Gary Johnson,LIB,27,,,
Davidson,14,President,,Gary Johnson,LIB,16,,,
Davidson,15,President,,Gary Johnson,LIB,30,,,
Davidson,16,President,,Gary Johnson,LIB,17,,,
Davidson, 17/18,President,,Gary Johnson,LIB,12,,,
Davidson,19,President,,Gary Johnson,LIB,26,,,
Davidson,20,President,,Gary Johnson,LIB,34,,,
Davidson,Total,President,,Gary Johnson,LIB,349,,,
Davidson,1,President,,Hillary Clinton,DEM,62,,,
Davidson,2,President,,Hillary Clinton,DEM,52,,,
Davidson,3,President,,Hillary Clinton,DEM,151,,,
Davidson, 4/5,President,,Hillary Clinton,DEM,145,,,
Davidson, 6/7,President,,Hillary Clinton,DEM,276,,,
Davidson,8,President,,Hillary Clinton,DEM,134,,,
Davidson,9,President,,Hillary Clinton,DEM,139,,,
Davidson,10,President,,Hillary Clinton,DEM,133,,,
Davidson,11,President,,Hillary Clinton,DEM,139,,,
Davidson, 12/13,President,,Hillary Clinton,DEM,194,,,
Davidson,14,President,,Hillary Clinton,DEM,128,,,
Davidson,15,President,,Hillary Clinton,DEM,175,,,
Davidson,16,President,,Hillary Clinton,DEM,133,,,
Davidson, 17/18,President,,Hillary Clinton,DEM,133,,,
Davidson,19,President,,Hillary Clinton,DEM,130,,,
Davidson,20,President,,Hillary Clinton,DEM,231,,,
Davidson,Total,President,,Hillary Clinton,DEM,2355,,,
Davidson,1,President,,Darrell L. Castle,CON,1,,,
Davidson,2,President,,Darrell L. Castle,CON,3,,,
Davidson,3,President,,Darrell L. Castle,CON,8,,,
Davidson, 4/5,President,,Darrell L. Castle,CON,10,,,
Davidson, 6/7,President,,Darrell L. Castle,CON,5,,,
Davidson,8,President,,Darrell L. Castle,CON,6,,,
Davidson,9,President,,Darrell L. Castle,CON,5,,,
Davidson,10,President,,Darrell L. Castle,CON,6,,,
Davidson,11,President,,Darrell L. Castle,CON,4,,,
Davidson, 12/13,President,,Darrell L. Castle,CON,2,,,
Davidson,14,President,,Darrell L. Castle,CON,7,,,
Davidson,15,President,,Darrell L. Castle,CON,3,,,
Davidson,16,President,,Darrell L. Castle,CON,4,,,
Davidson, 17/18,President,,Darrell L. Castle,CON,7,,,
Davidson,19,President,,Darrell L. Castle,CON,9,,,
Davidson,20,President,,Darrell L. Castle,CON,11,,,
Davidson,Total,President,,Darrell L. Castle,CON,91,,,
Davidson,1,U.S Senate,,John R. Thune,REP,228,,,
Davidson,2,U.S Senate,,John R. Thune,REP,315,,,
Davidson,3,U.S Senate,,John R. Thune,REP,521,,,
Davidson, 4/5,U.S Senate,,John R. Thune,REP,540,,,
Davidson, 6/7,U.S Senate,,John R. Thune,REP,689,,,
Davidson,8,U.S Senate,,John R. Thune,REP,342,,,
Davidson,9,U.S Senate,,John R. Thune,REP,304,,,
Davidson,10,U.S Senate,,John R. Thune,REP,282,,,
Davidson,11,U.S Senate,,John R. Thune,REP,305,,,
Davidson, 12/13,U.S Senate,,John R. Thune,REP,438,,,
Davidson,14,U.S Senate,,John R. Thune,REP,255,,,
Davidson,15,U.S Senate,,John R. Thune,REP,403,,,
Davidson,16,U.S Senate,,John R. Thune,REP,277,,,
Davidson, 17/18,U.S Senate,,John R. Thune,REP,248,,,
Davidson,19,U.S Senate,,John R. Thune,REP,331,,,
Davidson,20,U.S Senate,,John R. Thune,REP,539,,,
Davidson,Total,U.S Senate,,John R. Thune,REP,6017,,,
Davidson,1,U.S Senate,,Jay Williams,DEM,59,,,
Davidson,2,U.S Senate,,Jay Williams,DEM,71,,,
Davidson,3,U.S Senate,,Jay Williams,DEM,138,,,
Davidson, 4/5,U.S Senate,,Jay Williams,DEM,128,,,
Davidson, 6/7,U.S Senate,,Jay Williams,DEM,195,,,
Davidson,8,U.S Senate,,Jay Williams,DEM,108,,,
Davidson,9,U.S Senate,,Jay Williams,DEM,117,,,
Davidson,10,U.S Senate,,Jay Williams,DEM,121,,,
Davidson,11,U.S Senate,,Jay Williams,DEM,113,,,
Davidson, 12/13,U.S Senate,,Jay Williams,DEM,151,,,
Davidson,14,U.S Senate,,Jay Williams,DEM,113,,,
Davidson,15,U.S Senate,,Jay Williams,DEM,165,,,
Davidson,16,U.S Senate,,Jay Williams,DEM,93,,,
Davidson, 17/18,U.S Senate,,Jay Williams,DEM,98,,,
Davidson,19,U.S Senate,,Jay Williams,DEM,114,,,
Davidson,20,U.S Senate,,Jay Williams,DEM,206,,,
Davidson,Total,U.S Senate,,Jay Williams,DEM,1990,,,
Davidson,1,U.S House,1,Kristi Noem,REP,205,,,
Davidson,2,U.S House,1,Kristi Noem,REP,290,,,
Davidson,3,U.S House,1,Kristi Noem,REP,467,,,
Davidson, 4/5,U.S House,1,Kristi Noem,REP,487,,,
Davidson, 6/7,U.S House,1,Kristi Noem,REP,610,,,
Davidson,8,U.S House,1,Kristi Noem,REP,293,,,
Davidson,9,U.S House,1,Kristi Noem,REP,258,,,
Davidson,10,U.S House,1,Kristi Noem,REP,250,,,
Davidson,11,U.S House,1,Kristi Noem,REP,266,,,
Davidson, 12/13,U.S House,1,Kristi Noem,REP,375,,,
Davidson,14,U.S House,1,Kristi Noem,REP,212,,,
Davidson,15,U.S House,1,Kristi Noem,REP,353,,,
Davidson,16,U.S House,1,Kristi Noem,REP,219,,,
Davidson, 17/18,U.S House,1,Kristi Noem,REP,201,,,
Davidson,19,U.S House,1,Kristi Noem,REP,282,,,
Davidson,20,U.S House,1,Kristi Noem,REP,485,,,
Davidson,Total,U.S House,1,Kristi Noem,REP,5253,,,
Davidson,1,U.S House,1,Paula Hawks,DEM,83,,,
Davidson,2,U.S House,1,Paula Hawks,DEM,97,,,
Davidson,3,U.S House,1,Paula Hawks,DEM,193,,,
Davidson, 4/5,U.S House,1,Paula Hawks,DEM,186,,,
Davidson, 6/7,U.S House,1,Paula Hawks,DEM,271,,,
Davidson,8,U.S House,1,Paula Hawks,DEM,150,,,
Davidson,9,U.S House,1,Paula Hawks,DEM,161,,,
Davidson,10,U.S House,1,Paula Hawks,DEM,156,,,
Davidson,11,U.S House,1,Paula Hawks,DEM,152,,,
Davidson, 12/13,U.S House,1,Paula Hawks,DEM,210,,,
Davidson,14,U.S House,1,Paula Hawks,DEM,158,,,
Davidson,15,U.S House,1,Paula Hawks,DEM,221,,,
Davidson,16,U.S House,1,Paula Hawks,DEM,146,,,
Davidson, 17/18,U.S House,1,Paula Hawks,DEM,146,,,
Davidson,19,U.S House,1,Paula Hawks,DEM,165,,,
Davidson,20,U.S House,1,Paula Hawks,DEM,264,,,
Davidson,Total,U.S House,1,Paula Hawks,DEM,2759,,,
Davidson,1,Public Utilities commissioner,,Chris Nelson,REP,252,,,
Davidson,2,Public Utilities commissioner,,Chris Nelson,REP,340,,,
Davidson,3,Public Utilities commissioner,,Chris Nelson,REP,570,,,
Davidson, 4/5,Public Utilities commissioner,,Chris Nelson,REP,557,,,
Davidson, 6/7,Public Utilities commissioner,,Chris Nelson,REP,743,,,
Davidson,8,Public Utilities commissioner,,Chris Nelson,REP,351,,,
Davidson,9,Public Utilities commissioner,,Chris Nelson,REP,317,,,
Davidson,10,Public Utilities commissioner,,Chris Nelson,REP,317,,,
Davidson,11,Public Utilities commissioner,,Chris Nelson,REP,332,,,
Davidson, 12/13,Public Utilities commissioner,,Chris Nelson,REP,439,,,
Davidson,14,Public Utilities commissioner,,Chris Nelson,REP,262,,,
Davidson,15,Public Utilities commissioner,,Chris Nelson,REP,455,,,
Davidson,16,Public Utilities commissioner,,Chris Nelson,REP,269,,,
Davidson, 17/18,Public Utilities commissioner,,Chris Nelson,REP,253,,,
Davidson,19,Public Utilities commissioner,,Chris Nelson,REP,365,,,
Davidson,20,Public Utilities commissioner,,Chris Nelson,REP,583,,,
Davidson,Total,Public Utilities commissioner,,Chris Nelson,REP,6405,,,
Davidson,1,Public Utilities commissioner,,Henry Red Cloud,DEM,33,,,
Davidson,2,Public Utilities commissioner,,Henry Red Cloud,DEM,44,,,
Davidson,3,Public Utilities commissioner,,Henry Red Cloud,DEM,82,,,
Davidson, 4/5,Public Utilities commissioner,,Henry Red Cloud,DEM,96,,,
Davidson, 6/7,Public Utilities commissioner,,Henry Red Cloud,DEM,128,,,
Davidson,8,Public Utilities commissioner,,Henry Red Cloud,DEM,89,,,
Davidson,9,Public Utilities commissioner,,Henry Red Cloud,DEM,96,,,
Davidson,10,Public Utilities commissioner,,Henry Red Cloud,DEM,83,,,
Davidson,11,Public Utilities commissioner,,Henry Red Cloud,DEM,78,,,
Davidson, 12/13,Public Utilities commissioner,,Henry Red Cloud,DEM,132,,,
Davidson,14,Public Utilities commissioner,,Henry Red Cloud,DEM,97,,,
Davidson,15,Public Utilities commissioner,,Henry Red Cloud,DEM,105,,,
Davidson,16,Public Utilities commissioner,,Henry Red Cloud,DEM,81,,,
Davidson, 17/18,Public Utilities commissioner,,Henry Red Cloud,DEM,83,,,
Davidson,19,Public Utilities commissioner,,Henry Red Cloud,DEM,77,,,
Davidson,20,Public Utilities commissioner,,Henry Red Cloud,DEM,141,,,
Davidson,Total,Public Utilities commissioner,,Henry Red Cloud,DEM,1445,,,
Davidson,1,State Senate,20,Joshua Klumb,REP,226,,,
Davidson,2,State Senate,20,Joshua Klumb,REP,307,,,
Davidson,3,State Senate,20,Joshua Klumb,REP,496,,,
Davidson, 4/5,State Senate,20,Joshua Klumb,REP,500,,,
Davidson, 6/7,State Senate,20,Joshua Klumb,REP,599,,,
Davidson,8,State Senate,20,Joshua Klumb,REP,301,,,
Davidson,9,State Senate,20,Joshua Klumb,REP,262,,,
Davidson,10,State Senate,20,Joshua Klumb,REP,262,,,
Davidson,11,State Senate,20,Joshua Klumb,REP,270,,,
Davidson, 12/13,State Senate,20,Joshua Klumb,REP,395,,,
Davidson,14,State Senate,20,Joshua Klumb,REP,217,,,
Davidson,15,State Senate,20,Joshua Klumb,REP,369,,,
Davidson,16,State Senate,20,Joshua Klumb,REP,226,,,
Davidson, 17/18,State Senate,20,Joshua Klumb,REP,209,,,
Davidson,19,State Senate,20,Joshua Klumb,REP,303,,,
Davidson,20,State Senate,20,Joshua Klumb,REP,490,,,
Davidson,Total,State Senate,20,Joshua Klumb,REP,5432,,,
Davidson,1,State Senate,20,Quinten L Burg,DEM,65,,,
Davidson,2,State Senate,20,Quinten L Burg,DEM,82,,,
Davidson,3,State Senate,20,Quinten L Burg,DEM,153,,,
Davidson, 4/5,State Senate,20,Quinten L Burg,DEM,170,,,
Davidson, 6/7,State Senate,20,Quinten L Burg,DEM,271,,,
Davidson,8,State Senate,20,Quinten L Burg,DEM,139,,,
Davidson,9,State Senate,20,Quinten L Burg,DEM,149,,,
Davidson,10,State Senate,20,Quinten L Burg,DEM,140,,,
Davidson,11,State Senate,20,Quinten L Burg,DEM,144,,,
Davidson, 12/13,State Senate,20,Quinten L Burg,DEM,181,,,
Davidson,14,State Senate,20,Quinten L Burg,DEM,145,,,
Davidson,15,State Senate,20,Quinten L Burg,DEM,198,,,
Davidson,16,State Senate,20,Quinten L Burg,DEM,125,,,
Davidson, 17/18,State Senate,20,Quinten L Burg,DEM,128,,,
Davidson,19,State Senate,20,Quinten L Burg,DEM,142,,,
Davidson,20,State Senate,20,Quinten L Burg,DEM,246,,,
Davidson,Total,State Representative,20,Quinten L Burg,DEM,2478,,,
Davidson,1,State Representative,20,Tona Rozum,REP,178,,,
Davidson,2,State Representative,20,Tona Rozum,REP,266,,,
Davidson,3,State Representative,20,Tona Rozum,REP,459,,,
Davidson, 4/5,State Representative,20,Tona Rozum,REP,487,,,
Davidson, 6/7,State Representative,20,Tona Rozum,REP,690,,,
Davidson,8,State Representative,20,Tona Rozum,REP,300,,,
Davidson,9,State Representative,20,Tona Rozum,REP,272,,,
Davidson,10,State Representative,20,Tona Rozum,REP,248,,,
Davidson,11,State Representative,20,Tona Rozum,REP,276,,,
Davidson, 12/13,State Representative,20,Tona Rozum,REP,374,,,
Davidson,14,State Representative,20,Tona Rozum,REP,226,,,
Davidson,15,State Representative,20,Tona Rozum,REP,374,,,
Davidson,16,State Representative,20,Tona Rozum,REP,223,,,
Davidson, 17/18,State Representative,20,Tona Rozum,REP,219,,,
Davidson,19,State Representative,20,Tona Rozum,REP,315,,,
Davidson,20,State Representative,20,Tona Rozum,REP,534,,,
Davidson,Total,State Representative,20,Tona Rozum,REP,5441,,,
Davidson,1,State Representative,20,Lance Carson,REP,170,,,
Davidson,2,State Representative,20,Lance Carson,REP,237,,,
Davidson,3,State Representative,20,Lance Carson,REP,438,,,
Davidson, 4/5,State Representative,20,Lance Carson,REP,432,,,
Davidson, 6/7,State Representative,20,Lance Carson,REP,540,,,
Davidson,8,State Representative,20,Lance Carson,REP,229,,,
Davidson,9,State Representative,20,Lance Carson,REP,237,,,
Davidson,10,State Representative,20,Lance Carson,REP,232,,,
Davidson,11,State Representative,20,Lance Carson,REP,250,,,
Davidson, 12/13,State Representative,20,Lance Carson,REP,322,,,
Davidson,14,State Representative,20,Lance Carson,REP,185,,,
Davidson,15,State Representative,20,Lance Carson,REP,332,,,
Davidson,16,State Representative,20,Lance Carson,REP,206,,,
Davidson, 17/18,State Representative,20,Lance Carson,REP,190,,,
Davidson,19,State Representative,20,Lance Carson,REP,263,,,
Davidson,20,State Representative,20,Lance Carson,REP,436,,,
Davidson,Total,State Representative,20,Lance Carson,REP,4699,,,
