office,district,candidate,party
PRESIDENT,,DONALD J TRUMP,REP
PRESIDENT,,JO JORGENSEN,LIB
PRESIDENT,,JOSEPH R BIDEN,DEM
PUBLIC UTILITIES COMMISSIONER,,DEVIN SAXON,LIB
PUBLIC UTILITIES COMMISSIONER,,GARY HANSON,REP
PUBLIC UTILITIES COMMISSIONER,,REMI WB BALD EAGLE,DEM
STATE HOUSE,1,JENNIFER HEALY KEINTZ,DEM
STATE HOUSE,1,STEVEN D MCCLEEREY,DEM
STATE HOUSE,1,TAMARA ST JOHN,REP
STATE HOUSE,10,DOUG BARTHEL,REP
STATE HOUSE,10,MICHELLE L HENTSCHEL,DEM
STATE HOUSE,10,STEVEN HAUGAARD,REP
STATE HOUSE,11,CHRIS KARR,REP
STATE HOUSE,11,MARGARET M KUIPERS,DEM
STATE HOUSE,11,MARK WILLADSEN,REP
STATE HOUSE,11,SHERYL JOHNSON,DEM
STATE HOUSE,12,ARCH BEAL,REP
STATE HOUSE,12,ERIN ROYER,DEM
STATE HOUSE,12,GREG JAMISON,REP
STATE HOUSE,13,KELLY A SULLIVAN,DEM
STATE HOUSE,13,NORMAN B BLISS,DEM
STATE HOUSE,13,RICHARD L THOMASON,REP
STATE HOUSE,13,SUE PETERSON,REP
STATE HOUSE,14,ERIN HEALY,DEM
STATE HOUSE,14,MIKE HUBER,DEM
STATE HOUSE,14,TAYLOR RAE REHFELDT,REP
STATE HOUSE,14,TOM HOLMES,REP
STATE HOUSE,15,COLE HEISEY,REP
STATE HOUSE,15,JAMIE SMITH,DEM
STATE HOUSE,15,LINDA DUBA,DEM
STATE HOUSE,15,MATT ROSBURG,REP
STATE HOUSE,16,DAVID L ANDERSON,REP
STATE HOUSE,16,KEVIN D JENSEN,REP
STATE HOUSE,17,AL LEBER,DEM
STATE HOUSE,17,CAITLIN F COLLIER,DEM
STATE HOUSE,17,RICHARD VASGAARD,REP
STATE HOUSE,17,SYDNEY DAVIS,REP
STATE HOUSE,18,MIKE STEVENS,REP
STATE HOUSE,18,RYAN CWACH,DEM
STATE HOUSE,19,KENT PETERSON,REP
STATE HOUSE,19,MARTY OVERWEG,REP
STATE HOUSE,2,KALEB W WEIS,REP
STATE HOUSE,2,LANA GREENFIELD,REP
STATE HOUSE,20,LANCE KOTH,REP
STATE HOUSE,20,PAUL R MISKIMINS,REP
STATE HOUSE,21,CALEB FINCK,REP
STATE HOUSE,21,JESSICA HEGGE,DEM
STATE HOUSE,21,ROCKY BLARE,REP
STATE HOUSE,22,C JOHN MCENELLY,DEM
STATE HOUSE,22,LYNN SCHNEIDER,REP
STATE HOUSE,22,MARK S SMITH,DEM
STATE HOUSE,22,ROGER CHASE,REP
STATE HOUSE,23,CHARLIE HOFFMAN,REP
STATE HOUSE,23,SPENCER GOSCH,REP
STATE HOUSE,24,AMANDA BACHMANN,DEM
STATE HOUSE,24,MIKE WEISGRAM,REP
STATE HOUSE,24,WILL D MORTENSON,REP
STATE HOUSE,25,JARED NIEUWENHUIS,DEM
STATE HOUSE,25,JEFF BARTH,DEM
STATE HOUSE,25,JON HANSEN,REP
STATE HOUSE,25,TOM PISCHKE,REP
STATE HOUSE,26A,SHAWN BORDEAUX,DEM
STATE HOUSE,26B,REBECCA L REIMER,REP
STATE HOUSE,26B,TIM FELICIANO,DEM
STATE HOUSE,27,ERNEST WESTON JR,DEM
STATE HOUSE,27,LIZ MAY,REP
STATE HOUSE,27,PERI POURIER,DEM
STATE HOUSE,28A,OREN LEE LESMEISTER,DEM
STATE HOUSE,28B,SAM MARTY,REP
STATE HOUSE,29,DEAN WINK,REP
STATE HOUSE,29,JADE ADDISON,IND
STATE HOUSE,29,KIRK J CHAFFEE,REP
STATE HOUSE,3,CARL E PERRY,REP
STATE HOUSE,3,DREW DENNERT,REP
STATE HOUSE,3,JUSTIN ROEMMICK,DEM
STATE HOUSE,3,LESLIE MCLAUGHLIN,DEM
STATE HOUSE,30,TIM R GOODWIN,REP
STATE HOUSE,30,TRISH LADNER,REP
STATE HOUSE,31,BROOKE ABDALLAH,DEM
STATE HOUSE,31,MARY FITZGERALD,REP
STATE HOUSE,31,SCOTT ODENBACH,REP
STATE HOUSE,32,BECKY DRURY,REP
STATE HOUSE,32,CHRIS JOHNSON,REP
STATE HOUSE,32,JAMES PRESTON,DEM
STATE HOUSE,32,TONI DIAMOND,DEM
STATE HOUSE,33,PHIL JENSEN,REP
STATE HOUSE,33,TAFFY HOWARD,REP
STATE HOUSE,34,JESS OLSON,REP
STATE HOUSE,34,MIKE DERBY,REP
STATE HOUSE,34,NICK ANDERSON,DEM
STATE HOUSE,34,RICK STRACQUALURSI,DEM
STATE HOUSE,35,DAVID A HUBBARD,DEM
STATE HOUSE,35,PAT CROMWELL,DEM
STATE HOUSE,35,TINA L MULALLY,REP
STATE HOUSE,35,TONY RANDOLPH,REP
STATE HOUSE,4,BECKY HOLTQUIST,DEM
STATE HOUSE,4,FRED DEUTSCH,REP
STATE HOUSE,4,JOHN MILLS,REP
STATE HOUSE,5,HUGH M BARTELS,REP
STATE HOUSE,5,NANCY YORK,REP
STATE HOUSE,6,AARON AYLWARD,REP
STATE HOUSE,6,CODY INGLE,DEM
STATE HOUSE,6,ERNIE OTTEN,REP
STATE HOUSE,7,BILL ADAMSON,DEM
STATE HOUSE,7,LARRY TIDEMANN,REP
STATE HOUSE,7,LOUISE SNODGRASS,DEM
STATE HOUSE,7,TIMOTHY REED,REP
STATE HOUSE,8,JOHN P KESSINGER,DEM
STATE HOUSE,8,MARLI WIESE,REP
STATE HOUSE,8,RANDY GROSS,REP
STATE HOUSE,8,VAL PARSLEY,DEM
STATE HOUSE,9,BETHENY SOYE,REP
STATE HOUSE,9,MICHAEL SABA,DEM
STATE HOUSE,9,RHONDA MILSTEAD,REP
STATE HOUSE,9,TONI MILLER,DEM
STATE SENATE,1,MICHAEL H ROHL,REP
STATE SENATE,1,SUSAN WISMER,DEM
STATE SENATE,10,MAGGIE SUTTON,REP
STATE SENATE,10,NICHOLE CAUWELS,DEM
STATE SENATE,11,JIM STALZER,REP
STATE SENATE,11,TOM COOL,DEM
STATE SENATE,12,JESSICA MEYERS,DEM
STATE SENATE,12,R BLAKE CURD,REP
STATE SENATE,13,ELIZABETH LIZ LARSON,DEM
STATE SENATE,13,JACK KOLBECK,REP
STATE SENATE,14,LARRY P ZIKMUND,REP
STATE SENATE,14,TIMOTHY REED,DEM
STATE SENATE,15,REYNOLD F NESIBA,DEM
STATE SENATE,15,THOR BARDON,REP
STATE SENATE,16,JIM BOLIN,REP
STATE SENATE,17,AILEE JOHNS,DEM
STATE SENATE,17,ARTHUR RUSCH,REP
STATE SENATE,17,GREGORY BALDWIN,LIB
STATE SENATE,18,JEAN HUNHOFF,REP
STATE SENATE,18,JORDAN FOOS,DEM
STATE SENATE,19,KYLE SCHOENFISH,REP
STATE SENATE,2,BROCK L GREENFIELD,REP
STATE SENATE,20,ALEXANDER MARTIN,LIB
STATE SENATE,20,JOSHUA KLUMB,REP
STATE SENATE,21,DAN KERNER ANDERSON,DEM
STATE SENATE,21,ERIN TOBIN,REP
STATE SENATE,22,DAVID WHEELER,REP
STATE SENATE,23,BRYAN J BREITLING,REP
STATE SENATE,23,CJ ABERNATHEY,LIB
STATE SENATE,24,MARY DUVALL,REP
STATE SENATE,25,MARSHA SYMENS,REP
STATE SENATE,25,RICK W KNOBE,IND
STATE SENATE,25,SETH WILLIAM VAN T HOF,IND
STATE SENATE,26,JOEL KOSKAN,REP
STATE SENATE,26,TROY HEINERT,DEM
STATE SENATE,27,JUDD W SCHOMP,REP
STATE SENATE,27,RED DAWN FOSTER,DEM
STATE SENATE,28,RYAN M MAHER,REP
STATE SENATE,29,GARY L CAMMACK,REP
STATE SENATE,29,KENT WILSEY,LIB
STATE SENATE,3,AL NOVSTRUP,REP
STATE SENATE,30,A GIDEON OAKES,LIB
STATE SENATE,30,JULIE FRYE MUELLER,REP
STATE SENATE,31,TIMOTHY R JOHNS,REP
STATE SENATE,32,HELENE DUHAMEL,REP
STATE SENATE,32,MICHAEL CALABRESE,DEM
STATE SENATE,33,DAVID JOHNSON,REP
STATE SENATE,33,RYAN A RYDER,DEM
STATE SENATE,34,GEORGE NELSON,DEM
STATE SENATE,34,MICHAEL G DIEDRICH,REP
STATE SENATE,35,BRIAN GENTRY,IND
STATE SENATE,35,JESSICA CASTLEBERRY,REP
STATE SENATE,4,DARYL ROOT,LIB
STATE SENATE,4,JOHN WIIK,REP
STATE SENATE,5,ADAM JEWELL,LIB
STATE SENATE,5,LEE SCHOENBECK,REP
STATE SENATE,6,HERMAN OTTEN,REP
STATE SENATE,6,NANCY KIRSTEIN,DEM
STATE SENATE,7,V J SMITH,REP
STATE SENATE,8,CASEY CRABTREE,REP
STATE SENATE,9,SUZANNE SUZIE JONES PRANGER,DEM
STATE SENATE,9,WAYNE H STEINHAUER,REP
US HOUSE,1,DUSTY JOHNSON,REP
US HOUSE,1,RANDY URIAH LUALLIN,LIB
US SENATE,,DAN AHLERS,DEM
US SENATE,,MIKE ROUNDS,REP
